plate,mjd,fiberid,run2d,specobj_id,ra,dec,sn_median_r,z,zerr,zwarning,class,subclass
1928,53327,142,'26',Decimal('2170774108873189376'),127.71702,24.183294,36.64,0.93877,0.000181,0,'QSO','BROADLINE'
2264,53682,311,'26',Decimal('2549122937894496256'),117.88896,13.763431,20.77,1.10084,0.000163,0,'QSO','BROADLINE'
2268,53682,590,'26',Decimal('2553703228457904128'),122.80343,14.419786,35.51,1.2662,0.000185,0,'QSO','BROADLINE'
2274,53726,227,'26',Decimal('2560358847956936704'),126.21164,15.721798,44.8,1.87864,0.000165,0,'QSO','BROADLINE'
2282,53683,9,'26',Decimal('2569306123106543616'),135.3445,20.746259,25.66,2.09344,0.00016,0,'QSO','BROADLINE'
2283,53729,356,'26',Decimal('2570527406418847744'),133.39896,18.912936,12.7,2.14487,0.000305,0,'QSO','BROADLINE'
2283,53729,378,'26',Decimal('2570533453732800512'),134.11031,19.693816,13.12,2.82168,0.000217,0,'QSO','BROADLINE'
2962,54578,409,'26',Decimal('3335028025937913856'),122.81175,32.964554,2.75,0.803031,0.000148,0,'QSO','BROADLINE'
2962,54774,430,'104',Decimal('3335033801662373888'),122.81175,32.964554,17.77,0.803037,3.80E-05,16,'QSO','BROADLINE'
3174,54821,428,'104',Decimal('3573724032945725440'),125.61174,47.849761,65.51,1.12502,8.00E-05,0,'QSO','BROADLINE'
3655,55240,630,'v5_10_0',Decimal('4115337420504801280'),109.88894,40.54807,18.39,0.515143,3.60E-05,0,'QSO','BROADLINE'
3657,55244,532,'v5_10_0',Decimal('4117562282350714880'),110.63252,39.5587,29.03,1.40264,0.000164,0,'QSO','BROADLINE'
